"No connection test has been performed yet. Click ""Test Connection"" after entering your credentials.","Er is nog geen verbindingstest uitgevoerd. Klik op ""Verbinding testen"" nadat je je gegevens hebt ingevoerd."
message,"bericht"
"Syncronize Now","Nu synchroniseren"
"Syncing data...","Gegevens worden gesynchroniseerd..."
"Data synchronization failed","Synchronisatie van gegevens mislukt"
"No synchronisation necessary, everything is up to date.","Geen synchronisatie nodig, alles is up-to-date."
"Test Connection","Verbinding testen"
"Testing connection...","Verbinding wordt getest..."
"Missing configuration: Please set Personal Access Token and Shop UUID","Ontbrekende configuratie: Stel Personal Access Token en Shop UUID in"
"Connection test failed","Verbindingstest mislukt"
"Error testing connection: %1","Fout bij het testen van de verbinding: %1"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliercode. Ververs de pagina."
"Successfully synchronized data with Leat","Gegevens succesvol gesynchroniseerd met Leat"
"Error syncing data: %1","Fout bij het synchroniseren van gegevens: %1"
"An unexpected error occurred: %1","Er is een onverwachte fout opgetreden: %1"
"Gift Product SKUs","Cadeauproduct-SKU's"
"Add as gifts","Als cadeau toevoegen"
"Add the following products as gifts: %1","Voeg de volgende producten toe als cadeau: %1"
"Enter comma-separated SKUs. For configurable products, you can specify the simple product SKU.","Voer komma-gescheiden SKU's in. Voor configureerbare producten kun je de eenvoudige product-SKU opgeven."
"Customer Has Leat Reward","Klant heeft Leat-beloning"
"Customer has active Leat reward","Klant heeft een actieve Leat-beloning"
"Customer has active Leat Loyalty reward","Klant heeft een actieve Leat Loyaliteitsbeloning"
"Add gift products to cart","Voeg cadeauproducten toe aan winkelwagen"
"Successfully connected to Leat API.\n Company: %1, ID: %2","Succesvol verbonden met Leat API.\n Bedrijf: %1, ID: %2"
"Connection test failed: Unexpected response from API","Verbindingstest mislukt: Onverwachte reactie van API"
"Store not found: %1","Winkel niet gevonden: %1"
"Authentication failed: %1","Authenticatie mislukt: %1"
"PHP Internal error: %1","Interne PHP-fout: %1"
"Unexpected error: %1","Onverwachte fout: %1"
"Leat data synchronization needed: %1 attribute(s) missing. Please click ""Synchronize Now"" to set up all required attributes.","Leat-gegevenssynchronisatie nodig: %1 attribuut/attributen ontbreken. Klik op ""Nu synchroniseren"" om alle vereiste attributen in te stellen."
"Validation error: %1","Validatiefout: %1"
"Unexpected error during validation: %1","Onverwachte fout tijdens validatie: %1"
"Prepaid Balance Information","Informatie over vooruitbetaald saldo"
"Original Grand Total","Origineel totaalbedrag"
"Prepaid Balance Applied","Vooruitbetaald saldo toegepast"
"Final Grand Total","Uiteindelijke totaalbedrag"
"Note: A prepaid balance of %1 was applied to this order.","Let op: Een vooruitbetaald saldo van %1 is toegepast op deze bestelling."
"Prepaid Balance","Vooruitbetaald saldo"
"Enter comma-separated product SKUs to add as gifts. For configurable products, you can use the simple product SKU.","Voer komma-gescheiden product-SKU's in om toe te voegen als cadeaus. Voor configureerbare producten kun je de eenvoudige product-SKU gebruiken."
"Unique UUID for customer within Leat; Field gets filled automatically and can/should not be changed.","Unieke UUID voor klant binnen Leat; dit veld wordt automatisch ingevuld en mag niet worden gewijzigd."
"-- Please Select --","-- Selecteer alstublieft --"
"Applied Gift Cards","Toegepaste cadeaubonnen"
"Gift Card Code","Cadeauboncode"
"Applied Amount","Toegepast bedrag"
Total,Totaal
"Leat - Add gift products to cart","Leat - Voeg cadeauproducten toe aan winkelwagen"
